"Recapture.date","Signal","Length_mm","Weight_kg","Latitude","Longitude","Returned"
"2014-10-17 17:10:34",485,481,NA,-33.131514,151.597386,TRUE
"2014-10-31 18:02:39",485,481,NA,-33.086763,151.600176,TRUE
